"Species","Fmulti","Unit","value","F"
"sprat",0,"Biomass",5925509735316.69,0
"sprat",0,"FBiomass",7433804004542.65,0
"sprat",0,"SSB",4273017608647.77,0
"sprat",0,"Yield",0,0
"herring",0,"Biomass",174340295451.364,0
"herring",0,"FBiomass",7433804004542.65,0
"herring",0,"SSB",74103364728.8074,0
"herring",0,"Yield",0,0
"cod",0,"Biomass",1333953973774.59,0
"cod",0,"FBiomass",7433804004542.65,0
"cod",0,"SSB",1080660113567.67,0
"cod",0,"Yield",0,0
"sprat",0.0886075949367089,"Biomass",5708696822757.76,0.00687267491782561
"sprat",0.0886075949367089,"FBiomass",7263906976411.14,0.00687267491782561
"sprat",0.0886075949367089,"SSB",4019758836078.76,0.00687267491782561
"sprat",0.0886075949367089,"Yield",98978492342.9803,0.00687267491782561
"herring",0.0886075949367089,"Biomass",264006059478.694,0.00687267491782561
"herring",0.0886075949367089,"FBiomass",7263906976411.14,0.00687267491782561
"herring",0.0886075949367089,"SSB",119392368571.432,0.00687267491782561
"herring",0.0886075949367089,"Yield",3742460097.35499,0.00687267491782561
"cod",0.0886075949367089,"Biomass",1291204094174.69,0.00687267491782561
"cod",0.0886075949367089,"FBiomass",7263906976411.14,0.00687267491782561
"cod",0.0886075949367089,"SSB",1000469096194.36,0.00687267491782561
"cod",0.0886075949367089,"Yield",47046461406.2626,0.00687267491782561
"sprat",0.177215189873418,"Biomass",5505566390797.34,0.0136119894428822
"sprat",0.177215189873418,"FBiomass",7111973957388.08,0.0136119894428822
"sprat",0.177215189873418,"SSB",3784720653310.28,0.0136119894428822
"sprat",0.177215189873418,"Yield",189655941885.193,0.0136119894428822
"herring",0.177215189873418,"Biomass",349744908464.671,0.0136119894428822
"herring",0.177215189873418,"FBiomass",7111973957388.08,0.0136119894428822
"herring",0.177215189873418,"SSB",165316265073.422,0.0136119894428822
"herring",0.177215189873418,"Yield",10116434551.5953,0.0136119894428822
"cod",0.177215189873418,"Biomass",1256662658126.07,0.0136119894428822
"cod",0.177215189873418,"FBiomass",7111973957388.08,0.0136119894428822
"cod",0.177215189873418,"SSB",931644745268.063,0.0136119894428822
"cod",0.177215189873418,"Yield",90651966841.2711,0.0136119894428822
"sprat",0.265822784810127,"Biomass",5314273247485.33,0.0202257802622739
"sprat",0.265822784810127,"FBiomass",6973617722207.87,0.0202257802622739
"sprat",0.265822784810127,"SSB",3566354026671.5,0.0202257802622739
"sprat",0.265822784810127,"Yield",272733230060.023,0.0202257802622739
"herring",0.265822784810127,"Biomass",431936363775.875,0.0202257802622739
"herring",0.265822784810127,"FBiomass",6973617722207.87,0.0202257802622739
"herring",0.265822784810127,"SSB",210768712666.738,0.0202257802622739
"herring",0.265822784810127,"Yield",19016141710.9752,0.0202257802622739
"cod",0.265822784810127,"Biomass",1227408110946.66,0.0202257802622739
"cod",0.265822784810127,"FBiomass",6973617722207.87,0.0202257802622739
"cod",0.265822784810127,"SSB",870710065450.528,0.0202257802622739
"cod",0.265822784810127,"Yield",131391207276.428,0.0202257802622739
"sprat",0.354430379746835,"Biomass",5133735051841.9,0.0267175876730839
"sprat",0.354430379746835,"FBiomass",6845929878891.93,0.0267175876730839
"sprat",0.354430379746835,"SSB",3363607411083.76,0.0267175876730839
"sprat",0.354430379746835,"Yield",348843540233.988,0.0267175876730839
"herring",0.354430379746835,"Biomass",510442674029.568,0.0267175876730839
"herring",0.354430379746835,"FBiomass",6845929878891.93,0.0267175876730839
"herring",0.354430379746835,"SSB",254825330230.082,0.0267175876730839
"herring",0.354430379746835,"Yield",30284154117.1098,0.0267175876730839
"cod",0.354430379746835,"Biomass",1201752153020.46,0.0267175876730839
"cod",0.354430379746835,"FBiomass",6845929878891.93,0.0267175876730839
"cod",0.354430379746835,"SSB",815646247290.31,0.0267175876730839
"cod",0.354430379746835,"Yield",169592500878.142,0.0267175876730839
"sprat",0.443037974683544,"Biomass",4963166726603.92,0.0330894189022845
"sprat",0.443037974683544,"FBiomass",6726849668135.77,0.0330894189022845
"sprat",0.443037974683544,"SSB",3175554137517.77,0.0330894189022845
"sprat",0.443037974683544,"Yield",418577365710.624,0.0330894189022845
"herring",0.443037974683544,"Biomass",585014238988.528,0.0330894189022845
"herring",0.443037974683544,"FBiomass",6726849668135.77,0.0330894189022845
"herring",0.443037974683544,"SSB",296780048626.844,0.0330894189022845
"herring",0.443037974683544,"Yield",43721953579.8849,0.0330894189022845
"cod",0.443037974683544,"Biomass",1178668702543.32,0.0330894189022845
"cod",0.443037974683544,"FBiomass",6726849668135.77,0.0330894189022845
"cod",0.443037974683544,"SSB",765211992605.232,0.0330894189022845
"cod",0.443037974683544,"Yield",205463320394.405,0.0330894189022845
"sprat",0.531645569620253,"Biomass",4801897482332.12,0.0393429107022386
"sprat",0.531645569620253,"FBiomass",6614854165872.14,0.0393429107022386
"sprat",0.531645569620253,"SSB",3001270495372.06,0.0393429107022386
"sprat",0.531645569620253,"Yield",482486088463.775,0.0393429107022386
"herring",0.531645569620253,"Biomass",655445917227.35,0.0393429107022386
"herring",0.531645569620253,"FBiomass",6614854165872.14,0.0393429107022386
"herring",0.531645569620253,"SSB",336139118390.087,0.0393429107022386
"herring",0.531645569620253,"Yield",59106285218.3302,0.0393429107022386
"cod",0.531645569620253,"Biomass",1157510766312.67,0.0393429107022386
"cod",0.531645569620253,"FBiomass",6614854165872.14,0.0393429107022386
"cod",0.531645569620253,"SSB",718606213984.279,0.0393429107022386
"cod",0.531645569620253,"Yield",239150476586.611,0.0393429107022386
"sprat",0.620253164556962,"Biomass",4649298845441.4,0.0454797777553849
"sprat",0.620253164556962,"FBiomass",6508786478264.75,0.0454797777553849
"sprat",0.620253164556962,"SSB",2839809139077.82,0.0454797777553849
"sprat",0.620253164556962,"Yield",541079670504.106,0.0454797777553849
"herring",0.620253164556962,"Biomass",721630938163.002,0.0454797777553849
"herring",0.620253164556962,"FBiomass",6508786478264.75,0.0454797777553849
"herring",0.620253164556962,"SSB",372596222966.278,0.0454797777553849
"herring",0.620253164556962,"Yield",76204845514.3643,0.0454797777553849
"cod",0.620253164556962,"Biomass",1137856694660.34,0.0454797777553849
"cod",0.620253164556962,"FBiomass",6508786478264.75,0.0454797777553849
"cod",0.620253164556962,"SSB",675286718782.887,0.0454797777553849
"cod",0.620253164556962,"Yield",270769971447.734,0.0454797777553849
"sprat",0.708860759493671,"Biomass",4504760753798.47,0.0515019330325307
"sprat",0.708860759493671,"FBiomass",6407750594982.73,0.0515019330325307
"sprat",0.708860759493671,"SSB",2690209363338.2,0.0515019330325307
"sprat",0.708860759493671,"Yield",594824055820.896,0.0515019330325307
"herring",0.708860759493671,"Biomass",783568310483.235,0.0515019330325307
"herring",0.708860759493671,"FBiomass",6407750594982.73,0.0515019330325307
