"","species","ScientificName","calcium.mg","iron.mg","selenium.mug","zinc.mg","omega3.g","vitamin_a.mug","vitamin_d.mug"
"1","Sprat","Sprattus sprattus",74.455927303874,0.493952089808974,10.3700776517781,0.587451689989695,1.15603739037752,90.0020143755594,15.85
"2","Sandeel","Ammodytes marinus",61.4064380209934,0.468876102314707,14.9226221507389,0.992919188127714,0.865772312030876,37.2982004328556,15
"3","N.pout","Trisopterus esmarkii",77.0914292481254,0.772005660374928,18.032881005988,1.24894620165193,0.572212143015629,17.6717575655065,0.19
"4","Herring","Clupea harengus",92.5909530463614,0.480693079992856,16.2234676776893,1.30180853800032,1.83460148038602,33.3524155837971,18.775
"5","Dab","Limanda limanda",24.205718690345,0.292958861051085,15.374864475176,0.34278240498651,0.35147285271327,4.56514220432974,0.19
"6","Whiting","Merlangius merlangus",31.5584731669843,0.30020750972472,20.93767326107,0.316370758836017,1.84869187748539,21.6554897840527,0.7
"7","Sole","Solea solea",90.1298297773182,1.4331355318606,16.7513288083815,0.630013068701061,0.451500935245384,5.41905525001656,8
"8","Gurnard","Eutrigla gurnardus",61.6442234962581,0.498437189291732,27.2033928841925,0.623079785479118,1.22721470579508,13.3183509137195,0.19
"9","Plaice","Pleuronectes platessa",27.2774035829005,0.233916920257781,26.7592730739792,0.600692363595374,0.517763574235596,10.8653576502788,6
"10","Haddock","Melanogrammus aeglefinus",10.2446351541029,0.171524156416551,32.661484729446,0.288734916834256,0.571956738603065,11.2238879919049,0.5
"11","Cod","Gadus morhua",15.5215886992506,0.147698769666739,15.7919134493559,0.568267462822722,0.921803538589195,7.79921073870358,1.9
"12","Saithe","Pollachius virens",13.0929011835424,0.26830753668816,31.3611695910242,0.371504855701593,0.584372935273886,10.3523499556372,0.8
